# The first column contains the cpu time with 12 threads, and the second column contains the gpu times. 
0.0011757, 0.0008299
0.0012067, 0.0007786
0.000814, 0.0007035
0.0010064, 0.0007396
0.0008515, 0.0006913
0.0009574, 0.000741
0.0012508, 0.0007496
0.0007961, 0.0007194
0.0009012, 0.0006891
0.0011889, 0.0007297
0.0011438, 0.0006528
0.0008065, 0.000793
0.0009032, 0.0007886
0.0011615, 0.0009158
0.0008971, 0.0007132
0.000859, 0.0007374
0.001207, 0.0007632
0.0009253, 0.0006863
0.0008541, 0.0007574
0.0008664, 0.0006955
0.0009838, 0.0007047
0.0008627, 0.0007331
0.000939, 0.0007301
0.0007921, 0.0006769
0.0009075, 0.000738
0.0009171, 0.0006632
0.000967, 0.0007744
0.0008676, 0.0007086
0.0010135, 0.0007828
0.0010107, 0.0009199
0.0011091, 0.0007935
0.0009758, 0.0007785
0.0009221, 0.0006959
0.0008616, 0.0006761
0.0008114, 0.000722
0.0008983, 0.0007441
0.0009465, 0.0007013
0.0011853, 0.0006711
0.0011985, 0.0006834
0.0009021, 0.0006842
0.0009924, 0.0007329
0.0010168, 0.0007524
0.0009597, 0.0007493
0.001003, 0.0006874
0.0012197, 0.0007258
0.0009419, 0.0006929
0.0012232, 0.0006915
0.0008713, 0.0007324
0.0011705, 0.00071
0.0009496, 0.0006767
0.0009864, 0.0008107
0.0009865, 0.000735
0.0008638, 0.0007418
0.0008618, 0.0007217
0.0009738, 0.000823
0.0008922, 0.0007555
0.0012059, 0.0008939
0.0008284, 0.0007608
0.0009517, 0.0007562
0.0009682, 0.0007169
0.000841, 0.0007416
0.0008066, 0.0006972
0.0008546, 0.0006873
0.0008611, 0.0006725
0.0008503, 0.0006748
0.0009728, 0.0006983
0.0008063, 0.0007417
0.0008603, 0.0006908
0.0011814, 0.0007576
0.0009773, 0.0008686
0.0010035, 0.0007626
0.0009053, 0.0007491
0.0008851, 0.000773
0.0009172, 0.0007685
0.0008808, 0.000732
0.0008255, 0.0007587
0.0010584, 0.0009737
0.001125, 0.000704
0.0008603, 0.0007343
0.0008302, 0.0007928
0.0008495, 0.0007098
0.0008234, 0.0006847
0.0009702, 0.0007004
0.0008676, 0.0007496
0.0012, 0.0007549
0.0008812, 0.0007688
0.0012326, 0.0006742
0.0009568, 0.0007669
0.0009431, 0.0006763
0.0008698, 0.0007595
0.0008208, 0.0006714
0.0008524, 0.0006934
0.0008572, 0.0006778
0.0011806, 0.0007911
0.0010491, 0.0007378
0.0007914, 0.0006807
0.0008179, 0.0007063
0.0009105, 0.000674
0.0008732, 0.0007817
0.0008531, 0.0007221
